head,tail,relation,head_name,tail_name,head_type,tail_type,score,predicted,actual
25430,8845,drug-gene,"('6348', 'CCL3', 'gene/protein')","('DB05364', 'ROX-888', 'drug')",unknown,unknown,9.785486523310377e-35,0,1.0
8845,25430,drug-gene,"('DB05364', 'ROX-888', 'drug')","('6348', 'CCL3', 'gene/protein')",unknown,unknown,9.785486523310377e-35,0,1.0
8845,25430,drug-gene,"('DB05364', 'ROX-888', 'drug')","('6348', 'CCL3', 'gene/protein')",unknown,unknown,9.785561139651005e-35,0,1.0
25430,8845,drug-gene,"('6348', 'CCL3', 'gene/protein')","('DB05364', 'ROX-888', 'drug')",unknown,unknown,9.785561139651005e-35,0,1.0
22658,7211,drug-gene,"('5306', 'PITPNA', 'gene/protein')","('DB02144', '1,2-diacyl-sn-glycero-3-phosphoinositol', 'drug')",unknown,unknown,4.8061906762861586e-29,0,1.0
7211,22658,drug-gene,"('DB02144', '1,2-diacyl-sn-glycero-3-phosphoinositol', 'drug')","('5306', 'PITPNA', 'gene/protein')",unknown,unknown,4.8062276902522773e-29,0,1.0
7211,22658,drug-gene,"('DB02144', '1,2-diacyl-sn-glycero-3-phosphoinositol', 'drug')","('5306', 'PITPNA', 'gene/protein')",unknown,unknown,4.8062276902522773e-29,0,1.0
22658,7211,drug-gene,"('5306', 'PITPNA', 'gene/protein')","('DB02144', '1,2-diacyl-sn-glycero-3-phosphoinositol', 'drug')",unknown,unknown,4.8062276902522773e-29,0,1.0
9072,12823,drug-gene,"('DB06097', 'GSK-923295', 'drug')","('1062', 'CENPE', 'gene/protein')",unknown,unknown,2.8761358232922828e-27,0,1.0
12823,9072,drug-gene,"('1062', 'CENPE', 'gene/protein')","('DB06097', 'GSK-923295', 'drug')",unknown,unknown,2.87615739370766e-27,0,1.0
23658,9351,drug-gene,"('5553', 'PRG2', 'gene/protein')","('DB06752', 'Chymopapain', 'drug')",unknown,unknown,9.189810463468889e-27,0,1.0
23658,9351,drug-gene,"('5553', 'PRG2', 'gene/protein')","('DB06752', 'Chymopapain', 'drug')",unknown,unknown,9.189810463468889e-27,0,1.0
9351,23658,drug-gene,"('DB06752', 'Chymopapain', 'drug')","('5553', 'PRG2', 'gene/protein')",unknown,unknown,9.189846670951843e-27,0,1.0
9351,23658,drug-gene,"('DB06752', 'Chymopapain', 'drug')","('5553', 'PRG2', 'gene/protein')",unknown,unknown,9.189846670951843e-27,0,1.0
26448,7376,drug-gene,"('683', 'BST1', 'gene/protein')","('DB02483', 'Etheno-NAD', 'drug')",unknown,unknown,5.783266869774754e-26,0,1.0
7376,26448,drug-gene,"('DB02483', 'Etheno-NAD', 'drug')","('683', 'BST1', 'gene/protein')",unknown,unknown,5.783355000329009e-26,0,1.0
8118,20839,drug-gene,"('DB03967', 'Dodecyl sulfate', 'drug')","('4069', 'LYZ', 'gene/protein')",unknown,unknown,1.1958519955948993e-24,0,1.0
20839,8118,drug-gene,"('4069', 'LYZ', 'gene/protein')","('DB03967', 'Dodecyl sulfate', 'drug')",unknown,unknown,1.1958612647105356e-24,0,1.0
11125,26810,drug-gene,"('DB09421', 'Protirelin', 'drug')","('7201', 'TRHR', 'gene/protein')",unknown,unknown,1.4111289811860925e-24,0,1.0
26810,11125,drug-gene,"('7201', 'TRHR', 'gene/protein')","('DB09421', 'Protirelin', 'drug')",unknown,unknown,1.4111343059972027e-24,0,1.0
21605,9679,drug-gene,"('4751', 'NEK2', 'gene/protein')","('DB07180', '5-[(Z)-(5-Chloro-2-oxo-1,2-dihydro-3H-indol-3-ylidene)methyl]-N,2,4-trimethyl-1H-pyrrole-3-carboxamide', 'drug')",unknown,unknown,4.619788369875444e-24,0,1.0
