head,tail,relation,head_name,tail_name,head_type,tail_type,score,predicted,actual
14412,7383,drug-gene,"('1357', 'CPA1', 'gene/protein')","('DB02494', '(S)-3-phenyllactic acid', 'drug')",unknown,unknown,0.00567172234877944,0,1.0
7383,14412,drug-gene,"('DB02494', '(S)-3-phenyllactic acid', 'drug')","('1357', 'CPA1', 'gene/protein')",unknown,unknown,0.005671725608408451,0,1.0
6606,19394,drug-gene,"('DB01108', 'Trilostane', 'drug')","('3283', 'HSD3B1', 'gene/protein')",unknown,unknown,0.04757777228951454,0,1.0
19394,6606,drug-gene,"('3283', 'HSD3B1', 'gene/protein')","('DB01108', 'Trilostane', 'drug')",unknown,unknown,0.04757777974009514,0,1.0
9107,15188,drug-gene,"('DB06190', 'Solabegron', 'drug')","('155', 'ADRB3', 'gene/protein')",unknown,unknown,0.0628882646560669,0,1.0
9107,15188,drug-gene,"('DB06190', 'Solabegron', 'drug')","('155', 'ADRB3', 'gene/protein')",unknown,unknown,0.06288827955722809,0,1.0
15188,9107,drug-gene,"('155', 'ADRB3', 'gene/protein')","('DB06190', 'Solabegron', 'drug')",unknown,unknown,0.06288827955722809,0,1.0
15188,9107,drug-gene,"('155', 'ADRB3', 'gene/protein')","('DB06190', 'Solabegron', 'drug')",unknown,unknown,0.06288827955722809,0,1.0
8164,13945,drug-gene,"('DB04065', 'N-Cyclopentyl-N-Cyclobutylformamide', 'drug')","('124', 'ADH1A', 'gene/protein')",unknown,unknown,0.11841631680727005,0,1.0
13945,8164,drug-gene,"('124', 'ADH1A', 'gene/protein')","('DB04065', 'N-Cyclopentyl-N-Cyclobutylformamide', 'drug')",unknown,unknown,0.11841631680727005,0,1.0
25795,10990,drug-gene,"('645745', 'MT1HL1', 'gene/protein')","('DB09130', 'Copper', 'drug')",unknown,unknown,0.13513198494911194,0,1.0
10990,25795,drug-gene,"('DB09130', 'Copper', 'drug')","('645745', 'MT1HL1', 'gene/protein')",unknown,unknown,0.13513201475143433,0,1.0
20087,6359,drug-gene,"('3738', 'KCNA3', 'gene/protein')","('DB00845', 'Clofazimine', 'drug')",unknown,unknown,0.13673348724842072,0,1.0
6359,20087,drug-gene,"('DB00845', 'Clofazimine', 'drug')","('3738', 'KCNA3', 'gene/protein')",unknown,unknown,0.13673348724842072,0,1.0
15382,10956,drug-gene,"('162514', 'TRPV3', 'gene/protein')","('DB09086', 'Eugenol', 'drug')",unknown,unknown,0.1429414302110672,0,1.0
10956,15382,drug-gene,"('DB09086', 'Eugenol', 'drug')","('162514', 'TRPV3', 'gene/protein')",unknown,unknown,0.1429414302110672,0,1.0
21450,9263,drug-gene,"('4582', 'MUC1', 'gene/protein')","('DB06584', 'TG4010', 'drug')",unknown,unknown,0.15376386046409607,0,1.0
9263,21450,drug-gene,"('DB06584', 'TG4010', 'drug')","('4582', 'MUC1', 'gene/protein')",unknown,unknown,0.15376390516757965,0,1.0
10248,16063,drug-gene,"('DB07970', '5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide', 'drug')","('2045', 'EPHA7', 'gene/protein')",unknown,unknown,0.1708894670009613,0,1.0
16063,10248,drug-gene,"('2045', 'EPHA7', 'gene/protein')","('DB07970', '5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide', 'drug')",unknown,unknown,0.1708894968032837,0,1.0
16063,10248,drug-gene,"('2045', 'EPHA7', 'gene/protein')","('DB07970', '5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide', 'drug')",unknown,unknown,0.17088951170444489,0,1.0
10248,16063,drug-gene,"('DB07970', '5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide', 'drug')","('2045', 'EPHA7', 'gene/protein')",unknown,unknown,0.17088955640792847,0,1.0
19868,7889,drug-gene,"('353', 'APRT', 'gene/protein')","('DB03506', '9-Deazaadenine', 'drug')",unknown,unknown,0.17197483777999878,0,1.0
7889,19868,drug-gene,"('DB03506', '9-Deazaadenine', 'drug')","('353', 'APRT', 'gene/protein')",unknown,unknown,0.17197486758232117,0,1.0
7889,19868,drug-gene,"('DB03506', '9-Deazaadenine', 'drug')","('353', 'APRT', 'gene/protein')",unknown,unknown,0.17197489738464355,0,1.0
19868,7889,drug-gene,"('353', 'APRT', 'gene/protein')","('DB03506', '9-Deazaadenine', 'drug')",unknown,unknown,0.17197489738464355,0,1.0
27087,9042,drug-gene,"('7422', 'VEGFA', 'gene/protein')","('DB05969', 'SNS-032', 'drug')",unknown,unknown,0.1728145331144333,0,1.0
9042,27087,drug-gene,"('DB05969', 'SNS-032', 'drug')","('7422', 'VEGFA', 'gene/protein')",unknown,unknown,0.1728145331144333,0,1.0
27087,9042,drug-gene,"('7422', 'VEGFA', 'gene/protein')","('DB05969', 'SNS-032', 'drug')",unknown,unknown,0.1728145331144333,0,1.0
9042,27087,drug-gene,"('DB05969', 'SNS-032', 'drug')","('7422', 'VEGFA', 'gene/protein')",unknown,unknown,0.1728145331144333,0,1.0
20146,7524,drug-gene,"('375', 'ARF1', 'gene/protein')","('DB02774', '1,3-Propanediol', 'drug')",unknown,unknown,0.1753387302160263,0,1.0
7524,20146,drug-gene,"('DB02774', '1,3-Propanediol', 'drug')","('375', 'ARF1', 'gene/protein')",unknown,unknown,0.1753387302160263,0,1.0
7518,26849,drug-gene,"('DB02761', 'S-Mercaptocysteine', 'drug')","('7263', 'TST', 'gene/protein')",unknown,unknown,0.17621654272079468,0,1.0
26849,7518,drug-gene,"('7263', 'TST', 'gene/protein')","('DB02761', 'S-Mercaptocysteine', 'drug')",unknown,unknown,0.17621658742427826,0,1.0
8811,14683,drug-gene,"('DB05264', 'NPI 32101', 'drug')","('1439', 'CSF2RB', 'gene/protein')",unknown,unknown,0.17858879268169403,0,1.0
14683,8811,drug-gene,"('1439', 'CSF2RB', 'gene/protein')","('DB05264', 'NPI 32101', 'drug')",unknown,unknown,0.17858882248401642,0,1.0
15085,7963,drug-gene,"('152007', 'GLIPR2', 'gene/protein')","('DB03661', 'L-cysteic acid', 'drug')",unknown,unknown,0.2142696976661682,0,1.0
7963,15085,drug-gene,"('DB03661', 'L-cysteic acid', 'drug')","('152007', 'GLIPR2', 'gene/protein')",unknown,unknown,0.2142696976661682,0,1.0
5942,15281,drug-gene,"('DB00389', 'Carbimazole', 'drug')","('1588', 'CYP19A1', 'gene/protein')",unknown,unknown,0.2160435914993286,0,1.0
15281,5942,drug-gene,"('1588', 'CYP19A1', 'gene/protein')","('DB00389', 'Carbimazole', 'drug')",unknown,unknown,0.2160435914993286,0,1.0
17835,8395,drug-gene,"('26253', 'CLEC4E', 'gene/protein')","('DB04540', 'Cholesterol', 'drug')",unknown,unknown,0.2171931117773056,0,1.0
8395,17835,drug-gene,"('DB04540', 'Cholesterol', 'drug')","('26253', 'CLEC4E', 'gene/protein')",unknown,unknown,0.217193141579628,0,1.0
7256,16116,drug-gene,"('DB02239', 'Laevulinic Acid', 'drug')","('210', 'ALAD', 'gene/protein')",unknown,unknown,0.22798532247543335,0,1.0
16116,7256,drug-gene,"('210', 'ALAD', 'gene/protein')","('DB02239', 'Laevulinic Acid', 'drug')",unknown,unknown,0.22798535227775574,0,1.0
16116,7256,drug-gene,"('210', 'ALAD', 'gene/protein')","('DB02239', 'Laevulinic Acid', 'drug')",unknown,unknown,0.22798535227775574,0,1.0
7256,16116,drug-gene,"('DB02239', 'Laevulinic Acid', 'drug')","('210', 'ALAD', 'gene/protein')",unknown,unknown,0.22798538208007812,0,1.0
11453,19450,drug-gene,"('DB12465', 'Ketanserin', 'drug')","('3356', 'HTR2A', 'gene/protein')",unknown,unknown,0.23430897295475006,0,1.0
19450,11453,drug-gene,"('3356', 'HTR2A', 'gene/protein')","('DB12465', 'Ketanserin', 'drug')",unknown,unknown,0.23430897295475006,0,1.0
19450,11453,drug-gene,"('3356', 'HTR2A', 'gene/protein')","('DB12465', 'Ketanserin', 'drug')",unknown,unknown,0.23430897295475006,0,1.0
11453,19450,drug-gene,"('DB12465', 'Ketanserin', 'drug')","('3356', 'HTR2A', 'gene/protein')",unknown,unknown,0.23430901765823364,0,1.0
20146,8196,drug-gene,"('375', 'ARF1', 'gene/protein')","('DB04121', ""Guanosine-3'-monophosphate-5'-diphosphate"", 'drug')",unknown,unknown,0.23611049354076385,0,1.0
8196,20146,drug-gene,"('DB04121', ""Guanosine-3'-monophosphate-5'-diphosphate"", 'drug')","('375', 'ARF1', 'gene/protein')",unknown,unknown,0.23611050844192505,0,1.0
22999,11126,drug-gene,"('5465', 'PPARA', 'gene/protein')","('DB09422', 'Soybean oil', 'drug')",unknown,unknown,0.236822247505188,0,1.0
11126,22999,drug-gene,"('DB09422', 'Soybean oil', 'drug')","('5465', 'PPARA', 'gene/protein')",unknown,unknown,0.236822247505188,0,1.0
5804,19184,drug-gene,"('DB00233', 'Aminosalicylic acid', 'drug')","('30814', 'PLA2G2E', 'gene/protein')",unknown,unknown,0.2434612661600113,0,1.0
19184,5804,drug-gene,"('30814', 'PLA2G2E', 'gene/protein')","('DB00233', 'Aminosalicylic acid', 'drug')",unknown,unknown,0.24346132576465607,0,1.0
11730,22604,drug-gene,"('DB14072', 'Reversin 121', 'drug')","('5243', 'ABCB1', 'gene/protein')",unknown,unknown,0.2489938586950302,0,1.0
22604,11730,drug-gene,"('5243', 'ABCB1', 'gene/protein')","('DB14072', 'Reversin 121', 'drug')",unknown,unknown,0.2489938884973526,0,1.0
18274,10926,drug-gene,"('2740', 'GLP1R', 'gene/protein')","('DB09045', 'Dulaglutide', 'drug')",unknown,unknown,0.25146546959877014,0,1.0
10926,18274,drug-gene,"('DB09045', 'Dulaglutide', 'drug')","('2740', 'GLP1R', 'gene/protein')",unknown,unknown,0.2514655292034149,0,1.0
14278,7800,drug-gene,"('1312', 'COMT', 'gene/protein')","('DB03336', 'BIA', 'drug')",unknown,unknown,0.2522667348384857,0,1.0
7800,14278,drug-gene,"('DB03336', 'BIA', 'drug')","('1312', 'COMT', 'gene/protein')",unknown,unknown,0.2522667348384857,0,1.0
11789,15222,drug-gene,"('DB14637', 'Fluprednisolone acetate', 'drug')","('1576', 'CYP3A4', 'gene/protein')",unknown,unknown,0.2530326843261719,0,1.0
15222,11789,drug-gene,"('1576', 'CYP3A4', 'gene/protein')","('DB14637', 'Fluprednisolone acetate', 'drug')",unknown,unknown,0.2530326843261719,0,1.0
15222,11601,drug-gene,"('1576', 'CYP3A4', 'gene/protein')","('DB13633', 'Mepartricin', 'drug')",unknown,unknown,0.2565731406211853,0,1.0
11601,15222,drug-gene,"('DB13633', 'Mepartricin', 'drug')","('1576', 'CYP3A4', 'gene/protein')",unknown,unknown,0.2565732002258301,0,1.0
6162,17019,drug-gene,"('DB00627', 'Niacin', 'drug')","('23475', 'QPRT', 'gene/protein')",unknown,unknown,0.2566443681716919,0,1.0
17019,6162,drug-gene,"('23475', 'QPRT', 'gene/protein')","('DB00627', 'Niacin', 'drug')",unknown,unknown,0.2566443979740143,0,1.0
7713,26675,drug-gene,"('DB03152', 'B-2-Octylglucoside', 'drug')","('7053', 'TGM3', 'gene/protein')",unknown,unknown,0.25881248712539673,0,1.0
26675,7713,drug-gene,"('7053', 'TGM3', 'gene/protein')","('DB03152', 'B-2-Octylglucoside', 'drug')",unknown,unknown,0.25881248712539673,0,1.0
